2026-01-26 15:22:06 | INFO | Processing split=train rows=218728 output=output_sdf_templates/train
2026-01-26 15:31:51 | INFO | Processing split=train rows=218728 output=output_sdf_templates/train
2026-01-26 15:31:58 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_63324 role=reactant; writing to output_sdf_templates/clashing
2026-01-26 15:32:05 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_63324 role=product; writing to output_sdf_templates/clashing
2026-01-26 15:32:11 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_43416 role=reactant; writing to output_sdf_templates/clashing
2026-01-26 15:32:23 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_63328 role=reactant; writing to output_sdf_templates/clashing
2026-01-26 15:32:36 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_40327 role=reactant; writing to output_sdf_templates/clashing
2026-01-26 15:37:53 | INFO | Processing split=train rows=218728 output=output_sdf_templates/train
2026-01-26 15:37:59 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_63324 role=reactant
2026-01-26 15:38:06 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_63324 role=product
2026-01-26 15:38:06 | WARNING | Pair train__train_1__RHEA_63324 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:38:12 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_43416 role=reactant
2026-01-26 15:38:19 | WARNING | Pair train__train_1__RHEA_43416 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:38:25 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_63328 role=reactant
2026-01-26 15:38:31 | WARNING | Pair train__train_1__RHEA_63328 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:38:37 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_40327 role=reactant
2026-01-26 15:38:44 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_40327 role=product
2026-01-26 15:38:44 | WARNING | Pair train__train_1__RHEA_40327 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:38:51 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_40323 role=reactant
2026-01-26 15:38:57 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_40323 role=product
2026-01-26 15:38:57 | WARNING | Pair train__train_1__RHEA_40323 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:39:03 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_43428 role=reactant
2026-01-26 15:39:09 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_43428 role=product
2026-01-26 15:39:09 | WARNING | Pair train__train_1__RHEA_43428 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:39:15 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_41676 role=reactant
2026-01-26 15:39:20 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_41676 role=product
2026-01-26 15:39:20 | WARNING | Pair train__train_1__RHEA_41676 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:39:27 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_40403 role=reactant
2026-01-26 15:39:34 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_40403 role=product
2026-01-26 15:39:34 | WARNING | Pair train__train_1__RHEA_40403 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:39:40 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_40407 role=reactant
2026-01-26 15:39:47 | WARNING | All conformers clashing pair_id=train__train_1__RHEA_40407 role=product
2026-01-26 15:39:47 | WARNING | Pair train__train_1__RHEA_40407 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:40:05 | WARNING | All conformers clashing pair_id=train__train_3__RHEA_45648 role=reactant
2026-01-26 15:40:12 | WARNING | All conformers clashing pair_id=train__train_3__RHEA_45648 role=product
2026-01-26 15:40:12 | WARNING | Pair train__train_3__RHEA_45648 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:40:19 | WARNING | All conformers clashing pair_id=train__train_3__RHEA_45660 role=reactant
2026-01-26 15:40:25 | WARNING | All conformers clashing pair_id=train__train_3__RHEA_45660 role=product
2026-01-26 15:40:25 | WARNING | Pair train__train_3__RHEA_45660 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:40:32 | WARNING | All conformers clashing pair_id=train__train_3__RHEA_45652 role=reactant
2026-01-26 15:40:39 | WARNING | All conformers clashing pair_id=train__train_3__RHEA_45652 role=product
2026-01-26 15:40:39 | WARNING | Pair train__train_3__RHEA_45652 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:40:45 | WARNING | All conformers clashing pair_id=train__train_3__RHEA_45656 role=reactant
2026-01-26 15:40:52 | WARNING | All conformers clashing pair_id=train__train_3__RHEA_45656 role=product
2026-01-26 15:40:52 | WARNING | Pair train__train_3__RHEA_45656 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 15:40:59 | WARNING | All conformers clashing pair_id=train__train_3__RHEA_45664 role=reactant
