# name input_path ligand_code designs
ccd_12q ./data/rfd3/ccd_ligands/structures/12Q.cif 12Q 3
ccd_msr ./data/rfd3/ccd_ligands/structures/MSR.cif MSR 3
ccd_why ./data/rfd3/ccd_ligands/structures/WHY.cif WHY 3
ccd_1f1 ./data/rfd3/ccd_ligands/structures/1F1.cif 1F1 3
ccd_72v ./data/rfd3/ccd_ligands/structures/72V.cif 72V 3
ccd_j5s ./data/rfd3/ccd_ligands/structures/J5S.cif J5S 3
ccd_a1d6h ./data/rfd3/ccd_ligands/structures/A1D6H.cif A1D6H 3
ccd_5qy ./data/rfd3/ccd_ligands/structures/5QY.cif 5QY 3
ccd_29h ./data/rfd3/ccd_ligands/structures/29H.cif 29H 3
ccd_42c ./data/rfd3/ccd_ligands/structures/42C.cif 42C 3
ccd_ly8 ./data/rfd3/ccd_ligands/structures/LY8.cif LY8 3
ccd_ui7 ./data/rfd3/ccd_ligands/structures/UI7.cif UI7 3
ccd_vp8 ./data/rfd3/ccd_ligands/structures/VP8.cif VP8 3
ccd_nin ./data/rfd3/ccd_ligands/structures/NIN.cif NIN 3
ccd_dhy ./data/rfd3/ccd_ligands/structures/DHY.cif DHY 3
ccd_ub9 ./data/rfd3/ccd_ligands/structures/UB9.cif UB9 3
ccd_a1axn ./data/rfd3/ccd_ligands/structures/A1AXN.cif A1AXN 3
ccd_fxq ./data/rfd3/ccd_ligands/structures/FXQ.cif FXQ 3
ccd_dka ./data/rfd3/ccd_ligands/structures/DKA.cif DKA 3
ccd_ssc ./data/rfd3/ccd_ligands/structures/SSC.cif SSC 3
ccd_rgu ./data/rfd3/ccd_ligands/structures/RGU.cif RGU 3
ccd_a1axo ./data/rfd3/ccd_ligands/structures/A1AXO.cif A1AXO 3
ccd_38u ./data/rfd3/ccd_ligands/structures/38U.cif 38U 3
ccd_3qk ./data/rfd3/ccd_ligands/structures/3QK.cif 3QK 3
ccd_lhr ./data/rfd3/ccd_ligands/structures/LHR.cif LHR 3
ccd_v5l ./data/rfd3/ccd_ligands/structures/V5L.cif V5L 3
ccd_hky ./data/rfd3/ccd_ligands/structures/HKY.cif HKY 3
ccd_3w9 ./data/rfd3/ccd_ligands/structures/3W9.cif 3W9 3
ccd_wkk ./data/rfd3/ccd_ligands/structures/WKK.cif WKK 3
ccd_hfc ./data/rfd3/ccd_ligands/structures/HFC.cif HFC 3
ccd_5pv ./data/rfd3/ccd_ligands/structures/5PV.cif 5PV 3
ccd_dhc ./data/rfd3/ccd_ligands/structures/DHC.cif DHC 3
ccd_yi6 ./data/rfd3/ccd_ligands/structures/YI6.cif YI6 3
ccd_lxo ./data/rfd3/ccd_ligands/structures/LXO.cif LXO 3
ccd_8wt ./data/rfd3/ccd_ligands/structures/8WT.cif 8WT 3
ccd_bfe ./data/rfd3/ccd_ligands/structures/BFE.cif BFE 3
ccd_3z8 ./data/rfd3/ccd_ligands/structures/3Z8.cif 3Z8 3
ccd_mua ./data/rfd3/ccd_ligands/structures/MUA.cif MUA 3
ccd_23j ./data/rfd3/ccd_ligands/structures/23J.cif 23J 3
ccd_gt0 ./data/rfd3/ccd_ligands/structures/GT0.cif GT0 3
ccd_k8j ./data/rfd3/ccd_ligands/structures/K8J.cif K8J 3
ccd_9cg ./data/rfd3/ccd_ligands/structures/9CG.cif 9CG 3
ccd_g7z ./data/rfd3/ccd_ligands/structures/G7Z.cif G7Z 3
ccd_zaw ./data/rfd3/ccd_ligands/structures/ZAW.cif ZAW 3
ccd_wla ./data/rfd3/ccd_ligands/structures/WLA.cif WLA 3
ccd_jg8 ./data/rfd3/ccd_ligands/structures/JG8.cif JG8 3
ccd_yez ./data/rfd3/ccd_ligands/structures/YEZ.cif YEZ 3
ccd_z0b ./data/rfd3/ccd_ligands/structures/Z0B.cif Z0B 3
ccd_4eg ./data/rfd3/ccd_ligands/structures/4EG.cif 4EG 3
ccd_okp ./data/rfd3/ccd_ligands/structures/OKP.cif OKP 3
ccd_6ei ./data/rfd3/ccd_ligands/structures/6EI.cif 6EI 3
ccd_lfo ./data/rfd3/ccd_ligands/structures/LFO.cif LFO 3
ccd_ig8 ./data/rfd3/ccd_ligands/structures/IG8.cif IG8 3
ccd_bbn ./data/rfd3/ccd_ligands/structures/BBN.cif BBN 3
ccd_jh7 ./data/rfd3/ccd_ligands/structures/JH7.cif JH7 3
ccd_dqa ./data/rfd3/ccd_ligands/structures/DQA.cif DQA 3
ccd_8s4 ./data/rfd3/ccd_ligands/structures/8S4.cif 8S4 3
ccd_a1aj0 ./data/rfd3/ccd_ligands/structures/A1AJ0.cif A1AJ0 3
ccd_2qc ./data/rfd3/ccd_ligands/structures/2QC.cif 2QC 3
ccd_if3 ./data/rfd3/ccd_ligands/structures/IF3.cif IF3 3
ccd_m56 ./data/rfd3/ccd_ligands/structures/M56.cif M56 3
ccd_a1a39 ./data/rfd3/ccd_ligands/structures/A1A39.cif A1A39 3
ccd_y3e ./data/rfd3/ccd_ligands/structures/Y3E.cif Y3E 3
ccd_a1d6y ./data/rfd3/ccd_ligands/structures/A1D6Y.cif A1D6Y 3
ccd_5wu ./data/rfd3/ccd_ligands/structures/5WU.cif 5WU 3
ccd_asf ./data/rfd3/ccd_ligands/structures/ASF.cif ASF 3
ccd_ly0 ./data/rfd3/ccd_ligands/structures/LY0.cif LY0 3
ccd_ou0 ./data/rfd3/ccd_ligands/structures/OU0.cif OU0 3
ccd_zpi ./data/rfd3/ccd_ligands/structures/ZPI.cif ZPI 3
ccd_18n ./data/rfd3/ccd_ligands/structures/18N.cif 18N 3
ccd_bcy ./data/rfd3/ccd_ligands/structures/BCY.cif BCY 3
ccd_0on ./data/rfd3/ccd_ligands/structures/0ON.cif 0ON 3
ccd_jcz ./data/rfd3/ccd_ligands/structures/JCZ.cif JCZ 3
ccd_ava ./data/rfd3/ccd_ligands/structures/AVA.cif AVA 3
ccd_wn7 ./data/rfd3/ccd_ligands/structures/WN7.cif WN7 3
ccd_m8o ./data/rfd3/ccd_ligands/structures/M8O.cif M8O 3
ccd_yey ./data/rfd3/ccd_ligands/structures/YEY.cif YEY 3
ccd_3vr ./data/rfd3/ccd_ligands/structures/3VR.cif 3VR 3
ccd_yxn ./data/rfd3/ccd_ligands/structures/YXN.cif YXN 3
ccd_96k ./data/rfd3/ccd_ligands/structures/96K.cif 96K 3
ccd_qma ./data/rfd3/ccd_ligands/structures/QMA.cif QMA 3
ccd_jcf ./data/rfd3/ccd_ligands/structures/JCF.cif JCF 3
ccd_uup ./data/rfd3/ccd_ligands/structures/UUP.cif UUP 3
ccd_tek ./data/rfd3/ccd_ligands/structures/TEK.cif TEK 3
ccd_tqc ./data/rfd3/ccd_ligands/structures/TQC.cif TQC 3
ccd_nwy ./data/rfd3/ccd_ligands/structures/NWY.cif NWY 3
ccd_wk7 ./data/rfd3/ccd_ligands/structures/WK7.cif WK7 3
ccd_iaj ./data/rfd3/ccd_ligands/structures/IAJ.cif IAJ 3
ccd_4go ./data/rfd3/ccd_ligands/structures/4GO.cif 4GO 3
ccd_48y ./data/rfd3/ccd_ligands/structures/48Y.cif 48Y 3
ccd_1eb ./data/rfd3/ccd_ligands/structures/1EB.cif 1EB 3
ccd_4xp ./data/rfd3/ccd_ligands/structures/4XP.cif 4XP 3
ccd_8z6 ./data/rfd3/ccd_ligands/structures/8Z6.cif 8Z6 3
ccd_fdr ./data/rfd3/ccd_ligands/structures/FDR.cif FDR 3
ccd_lpb ./data/rfd3/ccd_ligands/structures/LPB.cif LPB 3
ccd_3ri ./data/rfd3/ccd_ligands/structures/3RI.cif 3RI 3
ccd_k80 ./data/rfd3/ccd_ligands/structures/K80.cif K80 3
ccd_vf9 ./data/rfd3/ccd_ligands/structures/VF9.cif VF9 3
ccd_j3s ./data/rfd3/ccd_ligands/structures/J3S.cif J3S 3
ccd_apa ./data/rfd3/ccd_ligands/structures/APA.cif APA 3
ccd_znp ./data/rfd3/ccd_ligands/structures/ZNP.cif ZNP 3
ccd_kd8 ./data/rfd3/ccd_ligands/structures/KD8.cif KD8 3
ccd_a1abl ./data/rfd3/ccd_ligands/structures/A1ABL.cif A1ABL 3
ccd_sq7 ./data/rfd3/ccd_ligands/structures/SQ7.cif SQ7 3
ccd_j1k ./data/rfd3/ccd_ligands/structures/J1K.cif J1K 3
ccd_9nb ./data/rfd3/ccd_ligands/structures/9NB.cif 9NB 3
ccd_vuu ./data/rfd3/ccd_ligands/structures/VUU.cif VUU 3
ccd_zc3 ./data/rfd3/ccd_ligands/structures/ZC3.cif ZC3 3
ccd_t6j ./data/rfd3/ccd_ligands/structures/T6J.cif T6J 3
ccd_jxw ./data/rfd3/ccd_ligands/structures/JXW.cif JXW 3
ccd_bsu ./data/rfd3/ccd_ligands/structures/BSU.cif BSU 3
ccd_t1w ./data/rfd3/ccd_ligands/structures/T1W.cif T1W 3
ccd_0om ./data/rfd3/ccd_ligands/structures/0OM.cif 0OM 3
ccd_a1ajq ./data/rfd3/ccd_ligands/structures/A1AJQ.cif A1AJQ 3
ccd_q0w ./data/rfd3/ccd_ligands/structures/Q0W.cif Q0W 3
ccd_dkr ./data/rfd3/ccd_ligands/structures/DKR.cif DKR 3
ccd_kdx ./data/rfd3/ccd_ligands/structures/KDX.cif KDX 3
ccd_k4q ./data/rfd3/ccd_ligands/structures/K4Q.cif K4Q 3
ccd_aag ./data/rfd3/ccd_ligands/structures/AAG.cif AAG 3
ccd_w0v ./data/rfd3/ccd_ligands/structures/W0V.cif W0V 3
ccd_hpz ./data/rfd3/ccd_ligands/structures/HPZ.cif HPZ 3
ccd_ase ./data/rfd3/ccd_ligands/structures/ASE.cif ASE 3
ccd_rzk ./data/rfd3/ccd_ligands/structures/RZK.cif RZK 3
ccd_a98 ./data/rfd3/ccd_ligands/structures/A98.cif A98 3
ccd_2j4 ./data/rfd3/ccd_ligands/structures/2J4.cif 2J4 3
ccd_8jt ./data/rfd3/ccd_ligands/structures/8JT.cif 8JT 3
ccd_a1ifx ./data/rfd3/ccd_ligands/structures/A1IFX.cif A1IFX 3
ccd_mn9 ./data/rfd3/ccd_ligands/structures/MN9.cif MN9 3
ccd_o09 ./data/rfd3/ccd_ligands/structures/O09.cif O09 3
ccd_58y ./data/rfd3/ccd_ligands/structures/58Y.cif 58Y 3
ccd_36y ./data/rfd3/ccd_ligands/structures/36Y.cif 36Y 3
ccd_bek ./data/rfd3/ccd_ligands/structures/BEK.cif BEK 3
ccd_umz ./data/rfd3/ccd_ligands/structures/UMZ.cif UMZ 3
ccd_s8g ./data/rfd3/ccd_ligands/structures/S8G.cif S8G 3
ccd_tl5 ./data/rfd3/ccd_ligands/structures/TL5.cif TL5 3
ccd_y4e ./data/rfd3/ccd_ligands/structures/Y4E.cif Y4E 3
ccd_25o ./data/rfd3/ccd_ligands/structures/25O.cif 25O 3
ccd_a1apx ./data/rfd3/ccd_ligands/structures/A1APX.cif A1APX 3
ccd_hh6 ./data/rfd3/ccd_ligands/structures/HH6.cif HH6 3
ccd_w1g ./data/rfd3/ccd_ligands/structures/W1G.cif W1G 3
