name,input_path,ligand_code,formula_weight,heavy_atoms,hetero_atoms,elements,formula,ccd_name,weight_bin
ccd_12q,./data/rfd3/ccd_ligands/structures/12Q.cif,12Q,159.185,12,2,"C,H,N,O",C10 H9 N O,1-METHYLQUINOLIN-2(1H)-ONE,0
ccd_msr,./data/rfd3/ccd_ligands/structures/MSR.cif,MSR,160.173,12,3,"C,H,N,O",C9 H8 N2 O,4-(1H-IMIDAZOL-1-YL)PHENOL,0
ccd_why,./data/rfd3/ccd_ligands/structures/WHY.cif,WHY,160.216,12,2,"C,H,N",C10 H12 N2,4-[(dimethylamino)methyl]benzonitrile,0
ccd_1f1,./data/rfd3/ccd_ligands/structures/1F1.cif,1F1,161.157,12,3,"C,H,N,O",C9 H7 N O2,1H-indole-6-carboxylic acid,0
ccd_72v,./data/rfd3/ccd_ligands/structures/72V.cif,72V,161.157,12,3,"C,H,N,O",C9 H7 N O2,"1-methylindole-2,3-dione",0
ccd_j5s,./data/rfd3/ccd_ligands/structures/J5S.cif,J5S,161.200,12,2,"C,H,N,O",C10 H11 N O,N-[(E)-(4-methylphenyl)methylidene]acetamide,0
ccd_a1d6h,./data/rfd3/ccd_ligands/structures/A1D6H.cif,A1D6H,162.185,12,2,"C,H,O",C10 H10 O2,(~{E})-3-(2-methoxyphenyl)prop-2-enal,0
ccd_5qy,./data/rfd3/ccd_ligands/structures/5QY.cif,5QY,162.188,12,3,"C,H,N,O",C9 H10 N2 O,"(3~{S})-3-methyl-3,4-dihydro-1~{H}-quinoxalin-2-one",0
ccd_29h,./data/rfd3/ccd_ligands/structures/29H.cif,29H,163.137,12,6,"C,H,N,O",C6 H5 N5 O,"2-aminopyrimido[4,5-d]pyrimidin-4(3H)-one",0
ccd_42c,./data/rfd3/ccd_ligands/structures/42C.cif,42C,163.180,12,5,"C,H,N",C7 H9 N5,"N,N-dimethyl-7H-purin-6-amine",0
ccd_ly8,./data/rfd3/ccd_ligands/structures/LY8.cif,LY8,164.201,12,2,"C,H,O",C10 H12 O2,methyl (2~{R})-2-phenylpropanoate,0
ccd_ui7,./data/rfd3/ccd_ligands/structures/UI7.cif,UI7,165.189,12,3,"C,H,N,O",C9 H11 N O2,N-[3-(hydroxymethyl)phenyl]ethanamide,0
ccd_vp8,./data/rfd3/ccd_ligands/structures/VP8.cif,VP8,165.982,12,4,"B,C,H,O",C8 H11 B O3,(3-ethoxyphenyl)boronic acid,0
ccd_nin,./data/rfd3/ccd_ligands/structures/NIN.cif,NIN,168.107,12,6,"C,H,N,O",C6 H4 N2 O4,DINITROPHENYLENE,0
ccd_dhy,./data/rfd3/ccd_ligands/structures/DHY.cif,DHY,168.147,12,4,"C,H,O",C8 H8 O4,"2-(3,4-DIHYDROXYPHENYL)ACETIC ACID",0
ccd_ub9,./data/rfd3/ccd_ligands/structures/UB9.cif,UB9,168.190,12,3,"C,H,O",C9 H12 O3,"2,6-dimethoxy-4-methylphenol",0
ccd_a1axn,./data/rfd3/ccd_ligands/structures/A1AXN.cif,A1AXN,169.183,13,3,"C,H,N",C10 H7 N3,(3M)-3-(1H-imidazol-1-yl)benzonitrile,0
ccd_fxq,./data/rfd3/ccd_ligands/structures/FXQ.cif,FXQ,172.231,12,6,"C,H,N",C6 H16 N6,1-(4-carbamimidamidobutyl)guanidine,0
ccd_dka,./data/rfd3/ccd_ligands/structures/DKA.cif,DKA,172.265,12,2,"C,H,O",C10 H20 O2,DECANOIC ACID,0
ccd_ssc,./data/rfd3/ccd_ligands/structures/SSC.cif,SSC,173.167,12,5,"C,H,N,O",C7 H11 N O4,"(2S,5S)-5-CARBOXYMETHYLPROLINE",0
