# name input_path ligand_code designs
ccd_12q ./data/rfd3/ccd_ligands/structures/12Q.cif 12Q 10
ccd_1f1 ./data/rfd3/ccd_ligands/structures/1F1.cif 1F1 10
ccd_a1d6h ./data/rfd3/ccd_ligands/structures/A1D6H.cif A1D6H 10
ccd_dhy ./data/rfd3/ccd_ligands/structures/DHY.cif DHY 10
ccd_fxq ./data/rfd3/ccd_ligands/structures/FXQ.cif FXQ 10
ccd_ssc ./data/rfd3/ccd_ligands/structures/SSC.cif SSC 10
ccd_lhr ./data/rfd3/ccd_ligands/structures/LHR.cif LHR 10
ccd_3z8 ./data/rfd3/ccd_ligands/structures/3Z8.cif 3Z8 10
ccd_gt0 ./data/rfd3/ccd_ligands/structures/GT0.cif GT0 10
ccd_k8j ./data/rfd3/ccd_ligands/structures/K8J.cif K8J 10
ccd_z0b ./data/rfd3/ccd_ligands/structures/Z0B.cif Z0B 10
ccd_okp ./data/rfd3/ccd_ligands/structures/OKP.cif OKP 10
ccd_jh7 ./data/rfd3/ccd_ligands/structures/JH7.cif JH7 10
ccd_2qc ./data/rfd3/ccd_ligands/structures/2QC.cif 2QC 10
ccd_m56 ./data/rfd3/ccd_ligands/structures/M56.cif M56 10
ccd_a1d6y ./data/rfd3/ccd_ligands/structures/A1D6Y.cif A1D6Y 10
ccd_zpi ./data/rfd3/ccd_ligands/structures/ZPI.cif ZPI 10
ccd_0on ./data/rfd3/ccd_ligands/structures/0ON.cif 0ON 10
ccd_3vr ./data/rfd3/ccd_ligands/structures/3VR.cif 3VR 10
ccd_96k ./data/rfd3/ccd_ligands/structures/96K.cif 96K 10
ccd_tqc ./data/rfd3/ccd_ligands/structures/TQC.cif TQC 10
ccd_nwy ./data/rfd3/ccd_ligands/structures/NWY.cif NWY 10
ccd_iaj ./data/rfd3/ccd_ligands/structures/IAJ.cif IAJ 10
ccd_4go ./data/rfd3/ccd_ligands/structures/4GO.cif 4GO 10
ccd_48y ./data/rfd3/ccd_ligands/structures/48Y.cif 48Y 10
ccd_1eb ./data/rfd3/ccd_ligands/structures/1EB.cif 1EB 10
ccd_j1k ./data/rfd3/ccd_ligands/structures/J1K.cif J1K 10
ccd_9nb ./data/rfd3/ccd_ligands/structures/9NB.cif 9NB 10
ccd_kdx ./data/rfd3/ccd_ligands/structures/KDX.cif KDX 10
ccd_ase ./data/rfd3/ccd_ligands/structures/ASE.cif ASE 10
ccd_a98 ./data/rfd3/ccd_ligands/structures/A98.cif A98 10
ccd_2j4 ./data/rfd3/ccd_ligands/structures/2J4.cif 2J4 10
ccd_mn9 ./data/rfd3/ccd_ligands/structures/MN9.cif MN9 10
ccd_58y ./data/rfd3/ccd_ligands/structures/58Y.cif 58Y 10
ccd_tr4 ./data/rfd3/ccd_ligands/structures/TR4.cif TR4 10
ccd_a1io3 ./data/rfd3/ccd_ligands/structures/A1IO3.cif A1IO3 10
ccd_zve ./data/rfd3/ccd_ligands/structures/ZVE.cif ZVE 10
ccd_w5c ./data/rfd3/ccd_ligands/structures/W5C.cif W5C 10
ccd_ofz ./data/rfd3/ccd_ligands/structures/OFZ.cif OFZ 10
ccd_4zl ./data/rfd3/ccd_ligands/structures/4ZL.cif 4ZL 10
ccd_vao ./data/rfd3/ccd_ligands/structures/VAO.cif VAO 10
ccd_wh1 ./data/rfd3/ccd_ligands/structures/WH1.cif WH1 10
ccd_jmj ./data/rfd3/ccd_ligands/structures/JMJ.cif JMJ 10
ccd_s6v ./data/rfd3/ccd_ligands/structures/S6V.cif S6V 10
ccd_dp3 ./data/rfd3/ccd_ligands/structures/DP3.cif DP3 10
ccd_a1bem ./data/rfd3/ccd_ligands/structures/A1BEM.cif A1BEM 10
ccd_gus ./data/rfd3/ccd_ligands/structures/GUS.cif GUS 10
ccd_dsy ./data/rfd3/ccd_ligands/structures/DSY.cif DSY 10
ccd_iwi ./data/rfd3/ccd_ligands/structures/IWI.cif IWI 10
ccd_a1bxl ./data/rfd3/ccd_ligands/structures/A1BXL.cif A1BXL 10
ccd_5sk ./data/rfd3/ccd_ligands/structures/5SK.cif 5SK 10
ccd_umj ./data/rfd3/ccd_ligands/structures/UMJ.cif UMJ 10
ccd_wor ./data/rfd3/ccd_ligands/structures/WOR.cif WOR 10
ccd_apf ./data/rfd3/ccd_ligands/structures/APF.cif APF 10
ccd_n7m ./data/rfd3/ccd_ligands/structures/N7M.cif N7M 10
ccd_m6r ./data/rfd3/ccd_ligands/structures/M6R.cif M6R 10
ccd_ik1 ./data/rfd3/ccd_ligands/structures/IK1.cif IK1 10
ccd_9ps ./data/rfd3/ccd_ligands/structures/9PS.cif 9PS 10
ccd_a3v ./data/rfd3/ccd_ligands/structures/A3V.cif A3V 10
ccd_k0o ./data/rfd3/ccd_ligands/structures/K0O.cif K0O 10
ccd_1v6 ./data/rfd3/ccd_ligands/structures/1V6.cif 1V6 10
ccd_m84 ./data/rfd3/ccd_ligands/structures/M84.cif M84 10
ccd_v7r ./data/rfd3/ccd_ligands/structures/V7R.cif V7R 10
ccd_opa ./data/rfd3/ccd_ligands/structures/OPA.cif OPA 10
ccd_geh ./data/rfd3/ccd_ligands/structures/GEH.cif GEH 10
ccd_rjj ./data/rfd3/ccd_ligands/structures/RJJ.cif RJJ 10
ccd_407 ./data/rfd3/ccd_ligands/structures/407.cif 407 10
ccd_oy2 ./data/rfd3/ccd_ligands/structures/OY2.cif OY2 10
ccd_z88 ./data/rfd3/ccd_ligands/structures/Z88.cif Z88 10
ccd_sil ./data/rfd3/ccd_ligands/structures/SIL.cif SIL 10
ccd_h5v ./data/rfd3/ccd_ligands/structures/H5V.cif H5V 10
ccd_2qo ./data/rfd3/ccd_ligands/structures/2QO.cif 2QO 10
ccd_4bt ./data/rfd3/ccd_ligands/structures/4BT.cif 4BT 10
ccd_0n4 ./data/rfd3/ccd_ligands/structures/0N4.cif 0N4 10
ccd_ky0 ./data/rfd3/ccd_ligands/structures/KY0.cif KY0 10
ccd_32v ./data/rfd3/ccd_ligands/structures/32V.cif 32V 10
ccd_3tx ./data/rfd3/ccd_ligands/structures/3TX.cif 3TX 10
ccd_5dj ./data/rfd3/ccd_ligands/structures/5DJ.cif 5DJ 10
ccd_as1 ./data/rfd3/ccd_ligands/structures/AS1.cif AS1 10
ccd_9cf ./data/rfd3/ccd_ligands/structures/9CF.cif 9CF 10
ccd_07u ./data/rfd3/ccd_ligands/structures/07U.cif 07U 10
ccd_a1igd ./data/rfd3/ccd_ligands/structures/A1IGD.cif A1IGD 10
ccd_36i ./data/rfd3/ccd_ligands/structures/36I.cif 36I 10
ccd_gr2 ./data/rfd3/ccd_ligands/structures/GR2.cif GR2 10
ccd_4zn ./data/rfd3/ccd_ligands/structures/4ZN.cif 4ZN 10
ccd_abw ./data/rfd3/ccd_ligands/structures/ABW.cif ABW 10
ccd_h6k ./data/rfd3/ccd_ligands/structures/H6K.cif H6K 10
ccd_a1b1b ./data/rfd3/ccd_ligands/structures/A1B1B.cif A1B1B 10
ccd_xzv ./data/rfd3/ccd_ligands/structures/XZV.cif XZV 10
ccd_tg4 ./data/rfd3/ccd_ligands/structures/TG4.cif TG4 10
ccd_u8r ./data/rfd3/ccd_ligands/structures/U8R.cif U8R 10
ccd_0lr ./data/rfd3/ccd_ligands/structures/0LR.cif 0LR 10
ccd_fdn ./data/rfd3/ccd_ligands/structures/FDN.cif FDN 10
ccd_5g4 ./data/rfd3/ccd_ligands/structures/5G4.cif 5G4 10
ccd_qzr ./data/rfd3/ccd_ligands/structures/QZR.cif QZR 10
ccd_s5f ./data/rfd3/ccd_ligands/structures/S5F.cif S5F 10
ccd_8xu ./data/rfd3/ccd_ligands/structures/8XU.cif 8XU 10
ccd_97m ./data/rfd3/ccd_ligands/structures/97M.cif 97M 10
