name,input_path,ligand_code,formula_weight,heavy_atoms,hetero_atoms,elements,formula,ccd_name,weight_bin
ccd_12q,./data/rfd3/ccd_ligands/structures/12Q.cif,12Q,159.185,12,2,"C,H,N,O",C10 H9 N O,1-METHYLQUINOLIN-2(1H)-ONE,0
ccd_1f1,./data/rfd3/ccd_ligands/structures/1F1.cif,1F1,161.157,12,3,"C,H,N,O",C9 H7 N O2,1H-indole-6-carboxylic acid,0
ccd_a1d6h,./data/rfd3/ccd_ligands/structures/A1D6H.cif,A1D6H,162.185,12,2,"C,H,O",C10 H10 O2,(~{E})-3-(2-methoxyphenyl)prop-2-enal,0
ccd_dhy,./data/rfd3/ccd_ligands/structures/DHY.cif,DHY,168.147,12,4,"C,H,O",C8 H8 O4,"2-(3,4-DIHYDROXYPHENYL)ACETIC ACID",0
ccd_fxq,./data/rfd3/ccd_ligands/structures/FXQ.cif,FXQ,172.231,12,6,"C,H,N",C6 H16 N6,1-(4-carbamimidamidobutyl)guanidine,0
ccd_ssc,./data/rfd3/ccd_ligands/structures/SSC.cif,SSC,173.167,12,5,"C,H,N,O",C7 H11 N O4,"(2S,5S)-5-CARBOXYMETHYLPROLINE",0
ccd_lhr,./data/rfd3/ccd_ligands/structures/LHR.cif,LHR,175.187,13,4,"C,H,N,O",C9 H9 N3 O,N-(1H-indazol-6-yl)acetamide,0
ccd_3z8,./data/rfd3/ccd_ligands/structures/3Z8.cif,3Z8,181.619,12,3,"C,CL,H,N,O",C9 H8 Cl N O,"7-chloro-3,4-dihydroisoquinolin-1(2H)-one",0
ccd_gt0,./data/rfd3/ccd_ligands/structures/GT0.cif,GT0,183.204,13,4,"C,H,N,O",C9 H13 N O3,5-(hydroxymethyl)-4-(methoxymethyl)-2-methylpyridin-3-ol,0
ccd_k8j,./data/rfd3/ccd_ligands/structures/K8J.cif,K8J,184.121,13,5,"C,F,H,O",C8 H5 F O4,"4-fluorobenzene-1,2-dicarboxylic acid",0
ccd_z0b,./data/rfd3/ccd_ligands/structures/Z0B.cif,Z0B,186.233,13,3,"C,H,N,S",C10 H6 N2 S,"thieno[2,3-c][2,6]naphthyridine",0
ccd_okp,./data/rfd3/ccd_ligands/structures/OKP.cif,OKP,188.076,13,5,"B,C,H,N,O",C8 H21 B N2 O2,{5-[(3-aminopropyl)amino]pentyl}boronic acid,0
