index,pair_id,split,sequence_length,protein_chain_id,ligand_chain_id,rhea_id,uniprot_id,reactant_model,product_model,seq_cluster,structure_cluster,combined_cluster
0,split__A0A009IHW8__RHEA_16301__01,train,269,A,B,RHEA:16301,A0A009IHW8,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_001/split__A0A009IHW8__RHEA_16301__01__reactant/split__A0A009IHW8__RHEA_16301__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_001/split__A0A009IHW8__RHEA_16301__01__product/split__A0A009IHW8__RHEA_16301__01__product_model.cif,0,0,0
1,split__A0A009IHW8__RHEA_75299__00,train,269,A,B,RHEA:75299,A0A009IHW8,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_000/split__A0A009IHW8__RHEA_75299__00__reactant/split__A0A009IHW8__RHEA_75299__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_000/split__A0A009IHW8__RHEA_75299__00__product/split__A0A009IHW8__RHEA_75299__00__product_model.cif,0,0,0
2,split__A0A059TC02__RHEA_64648__00,train,333,A,B,RHEA:64648,A0A059TC02,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_002/split__A0A059TC02__RHEA_64648__00__reactant/split__A0A059TC02__RHEA_64648__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_002/split__A0A059TC02__RHEA_64648__00__product/split__A0A059TC02__RHEA_64648__00__product_model.cif,1,1,1
3,split__A0A059TC02__RHEA_64652__01,train,333,A,B,RHEA:64652,A0A059TC02,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_003/split__A0A059TC02__RHEA_64652__01__reactant/split__A0A059TC02__RHEA_64652__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_003/split__A0A059TC02__RHEA_64652__01__product/split__A0A059TC02__RHEA_64652__01__product_model.cif,1,1,1
4,split__A0A067XGX8__RHEA_14717__00,train,512,A,B,RHEA:14717,A0A067XGX8,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_006/split__A0A067XGX8__RHEA_14717__00__reactant/split__A0A067XGX8__RHEA_14717__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_006/split__A0A067XGX8__RHEA_14717__00__product/split__A0A067XGX8__RHEA_14717__00__product_model.cif,2,2,2
5,split__A0A067XH53__RHEA_14717__00,train,533,A,B,RHEA:14717,A0A067XH53,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_007/split__A0A067XH53__RHEA_14717__00__reactant/split__A0A067XH53__RHEA_14717__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_007/split__A0A067XH53__RHEA_14717__00__product/split__A0A067XH53__RHEA_14717__00__product_model.cif,2,2,2
6,split__A0A068J840__RHEA_57976__00,train,475,A,B,RHEA:57976,A0A068J840,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_008/split__A0A068J840__RHEA_57976__00__reactant/split__A0A068J840__RHEA_57976__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_008/split__A0A068J840__RHEA_57976__00__product/split__A0A068J840__RHEA_57976__00__product_model.cif,3,3,3
7,split__A0A068J840__RHEA_57984__01,train,475,A,B,RHEA:57984,A0A068J840,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_009/split__A0A068J840__RHEA_57984__01__reactant/split__A0A068J840__RHEA_57984__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_009/split__A0A068J840__RHEA_57984__01__product/split__A0A068J840__RHEA_57984__01__product_model.cif,3,3,3
8,split__A0A072VDF2__RHEA_64648__00,train,342,A,B,RHEA:64648,A0A072VDF2,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_010/split__A0A072VDF2__RHEA_64648__00__reactant/split__A0A072VDF2__RHEA_64648__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_010/split__A0A072VDF2__RHEA_64648__00__product/split__A0A072VDF2__RHEA_64648__00__product_model.cif,4,4,4
9,split__A0A072VDF2__RHEA_64652__01,train,342,A,B,RHEA:64652,A0A072VDF2,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_011/split__A0A072VDF2__RHEA_64652__01__reactant/split__A0A072VDF2__RHEA_64652__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_011/split__A0A072VDF2__RHEA_64652__01__product/split__A0A072VDF2__RHEA_64652__01__product_model.cif,4,4,4
10,split__A0A075BSX9__RHEA_11880__00,train,437,A,B,RHEA:11880,A0A075BSX9,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_012/split__A0A075BSX9__RHEA_11880__00__reactant/split__A0A075BSX9__RHEA_11880__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_012/split__A0A075BSX9__RHEA_11880__00__product/split__A0A075BSX9__RHEA_11880__00__product_model.cif,5,5,5
11,split__A0A075BSX9__RHEA_46976__01,train,437,A,B,RHEA:46976,A0A075BSX9,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_013/split__A0A075BSX9__RHEA_46976__01__reactant/split__A0A075BSX9__RHEA_46976__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_013/split__A0A075BSX9__RHEA_46976__01__product/split__A0A075BSX9__RHEA_46976__01__product_model.cif,5,5,5
12,split__A0A075FBG7__RHEA_33983__01,test,580,A,B,RHEA:33983,A0A075FBG7,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_015/split__A0A075FBG7__RHEA_33983__01__reactant/split__A0A075FBG7__RHEA_33983__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_015/split__A0A075FBG7__RHEA_33983__01__product/split__A0A075FBG7__RHEA_33983__01__product_model.cif,6,6,6
13,split__A0A075FBG7__RHEA_54512__00,test,580,A,B,RHEA:54512,A0A075FBG7,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_014/split__A0A075FBG7__RHEA_54512__00__reactant/split__A0A075FBG7__RHEA_54512__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_014/split__A0A075FBG7__RHEA_54512__00__product/split__A0A075FBG7__RHEA_54512__00__product_model.cif,6,6,6
14,split__A0A075TMP0__RHEA_62224__00,train,340,A,B,RHEA:62224,A0A075TMP0,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_016/split__A0A075TMP0__RHEA_62224__00__reactant/split__A0A075TMP0__RHEA_62224__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_016/split__A0A075TMP0__RHEA_62224__00__product/split__A0A075TMP0__RHEA_62224__00__product_model.cif,7,7,7
15,split__A0A075TMP8__RHEA_62212__00,train,526,A,B,RHEA:62212,A0A075TMP8,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_017/split__A0A075TMP8__RHEA_62212__00__reactant/split__A0A075TMP8__RHEA_62212__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_017/split__A0A075TMP8__RHEA_62212__00__product/split__A0A075TMP8__RHEA_62212__00__product_model.cif,8,8,8
16,split__A0A075TRL5__RHEA_62208__00,train,524,A,B,RHEA:62208,A0A075TRL5,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_018/split__A0A075TRL5__RHEA_62208__00__reactant/split__A0A075TRL5__RHEA_62208__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_018/split__A0A075TRL5__RHEA_62208__00__product/split__A0A075TRL5__RHEA_62208__00__product_model.cif,9,9,9
17,split__A0A075TXZ1__RHEA_23112__00,train,324,A,B,RHEA:23112,A0A075TXZ1,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_019/split__A0A075TXZ1__RHEA_23112__00__reactant/split__A0A075TXZ1__RHEA_23112__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_019/split__A0A075TXZ1__RHEA_23112__00__product/split__A0A075TXZ1__RHEA_23112__00__product_model.cif,10,10,10
18,split__A0A076FFM5__RHEA_73455__00,train,523,A,B,RHEA:73455,A0A076FFM5,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_020/split__A0A076FFM5__RHEA_73455__00__reactant/split__A0A076FFM5__RHEA_73455__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_020/split__A0A076FFM5__RHEA_73455__00__product/split__A0A076FFM5__RHEA_73455__00__product_model.cif,11,11,11
19,split__A0A095AMW7__RHEA_46276__00,train,542,A,B,RHEA:46276,A0A095AMW7,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_022/split__A0A095AMW7__RHEA_46276__00__reactant/split__A0A095AMW7__RHEA_46276__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_022/split__A0A095AMW7__RHEA_46276__00__product/split__A0A095AMW7__RHEA_46276__00__product_model.cif,12,12,12
20,split__A0A096P8D3__RHEA_23632__00,train,470,A,B,RHEA:23632,A0A096P8D3,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_023/split__A0A096P8D3__RHEA_23632__00__reactant/split__A0A096P8D3__RHEA_23632__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_023/split__A0A096P8D3__RHEA_23632__00__product/split__A0A096P8D3__RHEA_23632__00__product_model.cif,13,13,13
21,split__A0A0A1C3I2__RHEA_15989__00,train,573,A,B,RHEA:15989,A0A0A1C3I2,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_024/split__A0A0A1C3I2__RHEA_15989__00__reactant/split__A0A0A1C3I2__RHEA_15989__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_024/split__A0A0A1C3I2__RHEA_15989__00__product/split__A0A0A1C3I2__RHEA_15989__00__product_model.cif,14,14,14
22,split__A0A0A1C930__RHEA_15989__00,train,594,A,B,RHEA:15989,A0A0A1C930,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_025/split__A0A0A1C930__RHEA_15989__00__reactant/split__A0A0A1C930__RHEA_15989__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_025/split__A0A0A1C930__RHEA_15989__00__product/split__A0A0A1C930__RHEA_15989__00__product_model.cif,14,14,14
23,split__A0A0A6ZFY4__RHEA_58000__01,train,442,A,B,RHEA:58000,A0A0A6ZFY4,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_028/split__A0A0A6ZFY4__RHEA_58000__01__reactant/split__A0A0A6ZFY4__RHEA_58000__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_028/split__A0A0A6ZFY4__RHEA_58000__01__product/split__A0A0A6ZFY4__RHEA_58000__01__product_model.cif,15,15,15
24,split__A0A0A6ZFY4__RHEA_58004__00,train,442,A,B,RHEA:58004,A0A0A6ZFY4,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_027/split__A0A0A6ZFY4__RHEA_58004__00__reactant/split__A0A0A6ZFY4__RHEA_58004__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_027/split__A0A0A6ZFY4__RHEA_58004__00__product/split__A0A0A6ZFY4__RHEA_58004__00__product_model.cif,15,15,15
25,split__A0A0A7GEY4__RHEA_19361__01,train,319,A,B,RHEA:19361,A0A0A7GEY4,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_031/split__A0A0A7GEY4__RHEA_19361__01__reactant/split__A0A0A7GEY4__RHEA_19361__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_031/split__A0A0A7GEY4__RHEA_19361__01__product/split__A0A0A7GEY4__RHEA_19361__01__product_model.cif,16,16,16
26,split__A0A0A7GEY4__RHEA_22408__00,train,319,A,B,RHEA:22408,A0A0A7GEY4,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_030/split__A0A0A7GEY4__RHEA_22408__00__reactant/split__A0A0A7GEY4__RHEA_22408__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_030/split__A0A0A7GEY4__RHEA_22408__00__product/split__A0A0A7GEY4__RHEA_22408__00__product_model.cif,16,16,16
27,split__A0A0B5LB55__RHEA_66704__00,train,433,A,B,RHEA:66704,A0A0B5LB55,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_033/split__A0A0B5LB55__RHEA_66704__00__reactant/split__A0A0B5LB55__RHEA_66704__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_033/split__A0A0B5LB55__RHEA_66704__00__product/split__A0A0B5LB55__RHEA_66704__00__product_model.cif,17,17,17
28,split__A0A0B6CGH9__RHEA_73443__00,train,372,A,B,RHEA:73443,A0A0B6CGH9,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_034/split__A0A0B6CGH9__RHEA_73443__00__reactant/split__A0A0B6CGH9__RHEA_73443__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_034/split__A0A0B6CGH9__RHEA_73443__00__product/split__A0A0B6CGH9__RHEA_73443__00__product_model.cif,18,18,18
29,split__A0A0B6CGH9__RHEA_73511__01,train,372,A,B,RHEA:73511,A0A0B6CGH9,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_035/split__A0A0B6CGH9__RHEA_73511__01__reactant/split__A0A0B6CGH9__RHEA_73511__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_035/split__A0A0B6CGH9__RHEA_73511__01__product/split__A0A0B6CGH9__RHEA_73511__01__product_model.cif,18,18,18
30,split__A0A0C5Q4Y6__RHEA_48080__00,train,493,A,B,RHEA:48080,A0A0C5Q4Y6,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_036/split__A0A0C5Q4Y6__RHEA_48080__00__reactant/split__A0A0C5Q4Y6__RHEA_48080__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_036/split__A0A0C5Q4Y6__RHEA_48080__00__product/split__A0A0C5Q4Y6__RHEA_48080__00__product_model.cif,19,19,19
31,split__A0A0C5Q4Y6__RHEA_55428__01,train,493,A,B,RHEA:55428,A0A0C5Q4Y6,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_037/split__A0A0C5Q4Y6__RHEA_55428__01__reactant/split__A0A0C5Q4Y6__RHEA_55428__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_037/split__A0A0C5Q4Y6__RHEA_55428__01__product/split__A0A0C5Q4Y6__RHEA_55428__01__product_model.cif,19,19,19
32,split__A0A0C5QRZ2__RHEA_48080__00,train,492,A,B,RHEA:48080,A0A0C5QRZ2,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_038/split__A0A0C5QRZ2__RHEA_48080__00__reactant/split__A0A0C5QRZ2__RHEA_48080__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_038/split__A0A0C5QRZ2__RHEA_48080__00__product/split__A0A0C5QRZ2__RHEA_48080__00__product_model.cif,19,19,19
33,split__A0A0C5QRZ2__RHEA_55428__01,train,492,A,B,RHEA:55428,A0A0C5QRZ2,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_039/split__A0A0C5QRZ2__RHEA_55428__01__reactant/split__A0A0C5QRZ2__RHEA_55428__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_039/split__A0A0C5QRZ2__RHEA_55428__01__product/split__A0A0C5QRZ2__RHEA_55428__01__product_model.cif,19,19,19
34,split__A0A0C6DRW4__RHEA_49072__00,train,417,A,B,RHEA:49072,A0A0C6DRW4,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_040/split__A0A0C6DRW4__RHEA_49072__00__reactant/split__A0A0C6DRW4__RHEA_49072__00__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_040/split__A0A0C6DRW4__RHEA_49072__00__product/split__A0A0C6DRW4__RHEA_49072__00__product_model.cif,20,20,20
35,split__A0A0C6DRW4__RHEA_49076__01,train,417,A,B,RHEA:49076,A0A0C6DRW4,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_041/split__A0A0C6DRW4__RHEA_49076__01__reactant/split__A0A0C6DRW4__RHEA_49076__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_041/split__A0A0C6DRW4__RHEA_49076__01__product/split__A0A0C6DRW4__RHEA_49076__01__product_model.cif,20,20,20
36,split__A0A0D4WTV1__RHEA_60620__01,train,289,A,B,RHEA:60620,A0A0D4WTV1,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/reactant/shard_044/split__A0A0D4WTV1__RHEA_60620__01__reactant/split__A0A0D4WTV1__RHEA_60620__01__reactant_model.cif,/home/ubuntu/amelie/ThermoGFN/runs/rf3_reactzyme_out_smiles_full_sharded_v9/product/shard_044/split__A0A0D4WTV1__RHEA_60620__01__product/split__A0A0D4WTV1__RHEA_60620__01__product_model.cif,21,21,21
