index,pair_id,split,sequence_length,protein_chain_id,ligand_chain_id,rhea_id,uniprot_id,reactant_model,product_model,seq_cluster,structure_cluster,combined_cluster
0,A0A075BSX9__RHEA-11880,train,437,A,,RHEA:11880,A0A075BSX9,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/reactant/A0A075BSX9__RHEA-11880__reactant.cif,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/product/A0A075BSX9__RHEA-11880__product.cif,0,0,0
1,A0A075BSX9__RHEA-46976,train,437,A,,RHEA:46976,A0A075BSX9,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/reactant/A0A075BSX9__RHEA-46976__reactant.cif,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/product/A0A075BSX9__RHEA-46976__product.cif,0,1,0
2,A0A0A7GEY4__RHEA-22408,train,319,A,,RHEA:22408,A0A0A7GEY4,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/reactant/A0A0A7GEY4__RHEA-22408__reactant.cif,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/product/A0A0A7GEY4__RHEA-22408__product.cif,1,2,1
3,A0A0A7GEY4__RHEA-19361,train,319,A,,RHEA:19361,A0A0A7GEY4,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/reactant/A0A0A7GEY4__RHEA-19361__reactant.cif,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/product/A0A0A7GEY4__RHEA-19361__product.cif,1,3,1
4,A0A0A7GEY4__RHEA-17653,train,319,A,,RHEA:17653,A0A0A7GEY4,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/reactant/A0A0A7GEY4__RHEA-17653__reactant.cif,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/product/A0A0A7GEY4__RHEA-17653__product.cif,1,4,1
5,A0A0B6CGH9__RHEA-73511,train,372,A,,RHEA:73511,A0A0B6CGH9,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/reactant/A0A0B6CGH9__RHEA-73511__reactant.cif,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/product/A0A0B6CGH9__RHEA-73511__product.cif,2,5,2
6,A0A0D4WTV1__RHEA-60620,train,289,A,,RHEA:60620,A0A0D4WTV1,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/reactant/A0A0D4WTV1__RHEA-60620__reactant.cif,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/product/A0A0D4WTV1__RHEA-60620__product.cif,3,6,3
7,A0A0D4WTV1__RHEA-60636,train,289,A,,RHEA:60636,A0A0D4WTV1,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/reactant/A0A0D4WTV1__RHEA-60636__reactant.cif,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/product/A0A0D4WTV1__RHEA-60636__product.cif,3,7,3
8,A0A0D4WTV1__RHEA-60616,train,289,A,,RHEA:60616,A0A0D4WTV1,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/reactant/A0A0D4WTV1__RHEA-60616__reactant.cif,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/product/A0A0D4WTV1__RHEA-60616__product.cif,3,8,3
9,A0A0D4WTV1__RHEA-60604,train,289,A,,RHEA:60604,A0A0D4WTV1,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/reactant/A0A0D4WTV1__RHEA-60604__reactant.cif,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/product/A0A0D4WTV1__RHEA-60604__product.cif,3,9,3
10,A0A0D4WTV1__RHEA-60612,train,289,A,,RHEA:60612,A0A0D4WTV1,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/reactant/A0A0D4WTV1__RHEA-60612__reactant.cif,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/product/A0A0D4WTV1__RHEA-60612__product.cif,3,10,3
11,A0A0D4WTV1__RHEA-60608,train,289,A,,RHEA:60608,A0A0D4WTV1,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/reactant/A0A0D4WTV1__RHEA-60608__reactant.cif,rfd3-data/rf3_reactzyme_catalyst_gt/endpoints/product/A0A0D4WTV1__RHEA-60608__product.cif,3,11,3
