index,stem,source_structure_path,selected_chain,aa_length,structure_length,seq_cluster,structure_cluster,combined_cluster,split
0,spec_unconditional_monomer_unconditional_monomer_0_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_0_model_0.cif,A,167,167,0,0,0,train
1,spec_unconditional_monomer_unconditional_monomer_0_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_0_model_1.cif,A,167,167,1,1,1,train
2,spec_unconditional_monomer_unconditional_monomer_0_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_0_model_2.cif,A,167,167,2,2,2,train
3,spec_unconditional_monomer_unconditional_monomer_100_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_100_model_0.cif,A,355,355,3,3,3,train
4,spec_unconditional_monomer_unconditional_monomer_100_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_100_model_1.cif,A,355,355,4,4,4,train
5,spec_unconditional_monomer_unconditional_monomer_100_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_100_model_2.cif,A,355,355,5,5,5,train
6,spec_unconditional_monomer_unconditional_monomer_101_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_101_model_0.cif,A,358,358,6,6,6,train
7,spec_unconditional_monomer_unconditional_monomer_101_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_101_model_1.cif,A,358,358,7,7,7,train
8,spec_unconditional_monomer_unconditional_monomer_101_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_101_model_2.cif,A,358,358,8,8,8,train
9,spec_unconditional_monomer_unconditional_monomer_102_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_102_model_0.cif,A,330,330,9,9,9,train
10,spec_unconditional_monomer_unconditional_monomer_102_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_102_model_1.cif,A,330,330,10,10,10,train
11,spec_unconditional_monomer_unconditional_monomer_102_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_102_model_2.cif,A,330,330,11,11,11,train
12,spec_unconditional_monomer_unconditional_monomer_103_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_103_model_0.cif,A,218,218,12,12,12,test
13,spec_unconditional_monomer_unconditional_monomer_103_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_103_model_1.cif,A,218,218,13,13,13,train
14,spec_unconditional_monomer_unconditional_monomer_103_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_103_model_2.cif,A,218,218,14,14,14,train
15,spec_unconditional_monomer_unconditional_monomer_104_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_104_model_0.cif,A,379,379,15,15,15,train
16,spec_unconditional_monomer_unconditional_monomer_104_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_104_model_1.cif,A,379,379,16,16,16,train
17,spec_unconditional_monomer_unconditional_monomer_104_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_104_model_2.cif,A,379,379,17,17,17,train
18,spec_unconditional_monomer_unconditional_monomer_105_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_105_model_0.cif,A,197,197,18,18,18,train
19,spec_unconditional_monomer_unconditional_monomer_105_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_105_model_1.cif,A,197,197,19,19,19,train
20,spec_unconditional_monomer_unconditional_monomer_105_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_105_model_2.cif,A,197,197,20,20,20,train
21,spec_unconditional_monomer_unconditional_monomer_106_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_106_model_0.cif,A,248,248,21,21,21,test
22,spec_unconditional_monomer_unconditional_monomer_106_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_106_model_1.cif,A,248,248,22,22,22,train
23,spec_unconditional_monomer_unconditional_monomer_106_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_106_model_2.cif,A,248,248,23,23,23,train
24,spec_unconditional_monomer_unconditional_monomer_107_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_107_model_0.cif,A,396,396,24,24,24,train
25,spec_unconditional_monomer_unconditional_monomer_107_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_107_model_1.cif,A,396,396,25,25,25,train
26,spec_unconditional_monomer_unconditional_monomer_107_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_107_model_2.cif,A,396,396,26,26,26,train
27,spec_unconditional_monomer_unconditional_monomer_108_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_108_model_0.cif,A,124,124,27,27,27,train
28,spec_unconditional_monomer_unconditional_monomer_108_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_108_model_1.cif,A,124,124,28,28,28,train
29,spec_unconditional_monomer_unconditional_monomer_108_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_108_model_2.cif,A,124,124,29,29,29,train
30,spec_unconditional_monomer_unconditional_monomer_109_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_109_model_0.cif,A,177,177,30,30,30,test
31,spec_unconditional_monomer_unconditional_monomer_109_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_109_model_1.cif,A,177,177,31,31,31,train
32,spec_unconditional_monomer_unconditional_monomer_109_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_109_model_2.cif,A,177,177,32,32,32,train
33,spec_unconditional_monomer_unconditional_monomer_10_model_0,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_10_model_0.cif,A,102,102,33,33,33,train
34,spec_unconditional_monomer_unconditional_monomer_10_model_1,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_10_model_1.cif,A,102,102,34,34,34,train
35,spec_unconditional_monomer_unconditional_monomer_10_model_2,/home/iska/amelie-ai/ThermoGFN/data/rfd3/unconditional_monomer/spec_unconditional_monomer_unconditional_monomer_10_model_2.cif,A,102,102,35,35,35,test
